iter	RMSE
0	0.3419148031
1	0.3314159966
2	0.3227025278
3	0.3135060457
4	0.3048856868
5	0.2960005378
6	0.2870757567
7	0.2777447467
8	0.2701048563
9	0.2630847179
10	0.2552303631
11	0.2483469696
12	0.2416798064
13	0.2360635071
14	0.2310217888
15	0.2247072007
16	0.2187874364
17	0.214022259
18	0.2090488282
19	0.2048428783
20	0.1999285302
21	0.1956331868
22	0.1910722446
23	0.1870676511
24	0.1834082336
25	0.1799926333
26	0.1754961112
27	0.1721937418
28	0.1685830398
29	0.1654482586
30	0.1623186604
31	0.1594040145
32	0.1564543898
33	0.1538600547
34	0.1515710272
35	0.1495228677
36	0.1468912465
37	0.1448712772
38	0.1422830373
39	0.140595649
40	0.13883419
41	0.1370358864
42	0.1355394561
43	0.1337483621
44	0.1319418821
45	0.1302838209
46	0.1286217826
47	0.1268456954
48	0.1252747307
49	0.1238905676
50	0.1229666182
51	0.122235026
52	0.121138249
53	0.1194444678
54	0.118380258
55	0.1169191714
56	0.1160497369
57	0.1152075752
58	0.1144518999
59	0.1137624711
60	0.1123442688
61	0.111689517
62	0.1111825535
63	0.110748756
64	0.1100071871
65	0.1094714398
66	0.1086538831
67	0.1079026549
68	0.1077875974
69	0.1075385248
70	0.1073375549
71	0.1072568182
72	0.1064662557
73	0.1058445226
74	0.1057656713
75	0.1055938665
76	0.1051661246
77	0.1045901503
78	0.1042905121
79	0.103867762
80	0.1037748943
81	0.1032654593
82	0.1030324878
83	0.1028477884
84	0.1024845786
85	0.1018918856
86	0.101660691
87	0.1014960611
88	0.1011510488
89	0.1010218147
90	0.1007585272
91	0.1003448922
92	0.1002147309
93	0.0998599352
94	0.09926892712
95	0.09894929519
96	0.09865709236
97	0.09814561473
98	0.09758152231
99	0.09674713648
100	0.09644071673
101	0.09613867936
102	0.09594109682
103	0.09586312942
104	0.09573933003
105	0.0956346987
106	0.09531171083
107	0.09510022303
108	0.09493770504
109	0.09485847208
110	0.09458679898
111	0.09421614378
112	0.09408803242
113	0.09377878714
114	0.09337951946
115	0.09317057539
116	0.09304721105
117	0.09294914952
118	0.09284318889
119	0.09268195561
120	0.09261682472
121	0.09256845775
122	0.09228388412
123	0.09199268213
124	0.09193333645
125	0.09182600587
126	0.09177915756
127	0.09171018371
128	0.09155666159
129	0.09148954631
130	0.09121342877
131	0.09111952632
132	0.0906760236
133	0.0904985584
134	0.09023213124
135	0.09012444468
136	0.09004296212
137	0.08991887269
138	0.08971952972
139	0.08945784825
140	0.08911714778
141	0.08904324164
142	0.08897261722
143	0.08881743663
144	0.08868663665
145	0.08857223565
146	0.08852396182
147	0.0883812221
148	0.08830526002
149	0.08822803725
150	0.08820989921
151	0.08817129322
152	0.08751081502
153	0.08750059908
154	0.0874710676
155	0.08735542199
156	0.08727598343
157	0.0871714239
158	0.08695158904
159	0.08671439432
160	0.08659220008
161	0.08647441425
162	0.08569864379
163	0.08563271728
164	0.08560383044
165	0.08540417652
166	0.08527886682
167	0.08517941474
168	0.08495406684
169	0.08490352657
170	0.08447982653
171	0.08444754214
172	0.0843711889
173	0.08430702297
174	0.08398698259
175	0.08392485213
176	0.08353680368
177	0.08343287393
178	0.08338411269
179	0.08323777215
180	0.08312797756
181	0.08297593185
182	0.082900585
183	0.08259806668
184	0.08253330347
185	0.08245495501
186	0.08241342351
187	0.08221629917
188	0.0821674848
189	0.08209825827
190	0.08194840637
191	0.08185661363
192	0.08165604168
193	0.08153156539
194	0.08149784819
195	0.08146089991
196	0.08139200547
197	0.08137308845
198	0.08134158783
199	0.08128412508
200	0.08124184772
201	0.08120771242
202	0.08117319519
203	0.08108620627
204	0.08092711001
205	0.08090799398
206	0.08089198465
207	0.08062635482
208	0.08053530347
209	0.08048983274
210	0.08012465631
211	0.08008798751
212	0.08003169948
213	0.08001680683
214	0.07999218813
215	0.07995341127
216	0.0798980424
217	0.07986678803
218	0.07982565942
219	0.07979958731
220	0.07959637646
221	0.07925407511
222	0.07921136214
